ATL,2/14/16,891,890,4,2,2,0,0,6259,2787,29.3,486,6.65,1419,37.95,0,0,1567,22.1,6259,96
ATL,2/15/16,1010,1022,39,8,28,3,0,30773,6752,70.72,4259,33.61,9173,183.22,13,0.48,10576,124.97,30773,413
ATL,2/16/16,1033,1022,15,13,2,0,0,25773,7591,73.62,2348,17.4,1984,34.88,0,0,13850,176.09,25773,301.99
ATL,2/17/16,1058,1056,2,2,0,0,0,4738,3141,35.07,36,1.37,248,9.14,0,0,1313,33.43,4738,79
ATL,2/18/16,1062,1063,1,1,0,0,0,6572,3752,32.09,7,0.29,304,11.05,0,0,2509,37.57,6572,81
ATL,2/19/16,1069,1068,0,0,0,0,0,6788,1457,18.44,61,0.46,237,9.22,0,0,5033,45.88,6788,74
ATL,2/20/16,781,784,0,0,0,0,0,2872,1649,18.78,0,0,177,6.61,0,0,1046,18.61,2872,44
ATL,2/21/16,989,988,3,3,0,0,0,5449,2349,28.17,0,0,340,13.58,0,0,2760,42.25,5449,84
ATL,2/22/16,1057,1059,2,2,0,0,0,8968,3083,43.79,16,1.05,1488,53.14,0,0,4381,62.02,8968,160
ATL,2/23/16,1050,1051,2,1,1,0,0,7448,2028,34.09,155,1,2336,82.12,0,0,2929,46.79,7448,16
ATL,2/24/16,1001,1025,38,6,28,4,0,25129,7881,55.65,1676,10.64,5908,129.33,2,0.05,9662,143.33,25129,339
ATL,2/25/16,1064,1051,4,4,0,0,0,14365,7113,62.26,245,3.55,702,20.51,25,1,6280,89.68,14365,17
ATL,2/26/16,1066,1063,0,0,0,0,0,7455,3944,43.96,0,0,404,10.13,0,0,3107,48.91,7455,103
ATL,2/27/16,776,779,1,1,0,0,0,3263,2676,23.49,0,0,276,8.17,0,0,311,8.34,3263,40
ATL,2/28/16,991,992,1,1,0,0,0,4127,2967,21.41,41,1.71,331,14.4,0,0,788,18.49,4127,56
ATL,2/29/16,1063,1064,1,1,0,0,0,3448,2270,26.43,0,0,320,11.9,0,0,858,11.67,3448,50
ATL,3/1/16,1044,1019,9,1,8,0,0,8596,2736,28.65,371,3.28,3317,78.21,0,0,2172,27.87,8596,138
ATL,3/2/16,1069,1063,5,3,0,2,0,7490,4255,31.43,2,0.03,743,19.07,0,0,2490,31.48,7490,82
ATL,3/3/16,1094,1088,4,1,3,0,0,13628,4421,49.8,71,1.67,3546,108.2,0,0,5590,79.32,13628,239
ATL,3/4/16,1087,1087,5,5,0,0,0,8550,3691,35.95,278,4.91,1313,45.34,0,0,3268,55.81,8550,142
ATL,3/5/16,905,907,0,0,0,0,0,6076,4238,27.87,49,2,1087,23.44,0,0,702,13.7,6076,67
